Movie Title,Actor 1,Actor 2,Actor 3,Year
Logan,Hugh Jackman,Patrick Stewart,Boyd Holbrook,2017
Dunkirk,Fionn Whitehead,Tom Hardy,Mark Rylance,2017
Get Out,Daniel Kaluuya,Allison Williams,Caleb Landry Jones,2017
Lady Bird,Saoirse Ronan,Laurie Metcalf,Tracy Letts,2017
The Shape of Water,Sally Hawkins,Octavia Spencer,Michael Shannon,2017
Pulp Fiction,John Travolta,Samuel L. Jackson,Uma Thurman,1994
The Post,Meryl Streep,Tom Hanks,Sarah Paulson,2017
The Big Sick,Kumail Nanjiani,Zoe Kazan,Holly Hunter,2017
Blade Runner 2049,Ryan Gosling,Harrison Ford,Ana de Armas,2017
Call Me by Your Name,Timothée Chalamet,Armie Hammer,Michael Stuhlbarg,2017
Darkest Hour,Gary Oldman,Kristin Scott Thomas,Ben Mendelsohn,2017
